source,scientific_status,run_id,family,model,representation,window_size_frames,fold,seed,balancing,subset,scope,label,metric,value
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,test,global,,macro_f1,0.5178796644837392
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,classical,random_forest,R0_flat,30,2,42,none,all,cost,,train_seconds,0.7419021000023349
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,validation,global,,accuracy,0.7841105354058722
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,validation,global,,balanced_accuracy,0.39766523559654426
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,validation,global,,macro_f1,0.38985805176627797
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,test,global,,accuracy,0.8889623265036352
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,test,global,,balanced_accuracy,0.4651230931318459
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,test,global,,macro_f1,0.4539823735361584
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,classical,random_forest,R0_flat,30,3,42,none,all,cost,,train_seconds,0.861654099997395
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,validation,global,,accuracy,0.8258575197889182
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,validation,global,,balanced_accuracy,0.4381668684222712
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,validation,global,,macro_f1,0.40875336277346325
G1,reused_valid,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_4__seed_42,classical,random_forest,R0_flat,30,4,42,none,test,global,,accuracy,0.7547511312217194
