run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__transform__minirocket_ridge__r0__w150__fold_2__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,150,2,42,none,ffadf1eca58d3a1982faba31b2c83ab273143b5bf93f87ead9c7ba966ce32d93,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w150__fold_3__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,150,3,42,none,a593e64e943a5da9729b31ad57a2bc31d2bf8f53870f6994fe55cfc987e755ea,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w150__fold_4__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,150,4,42,none,0fc8433445ed3adbea7043d6f1414ac38c255e1edf226866542ffbfdfbc35d53,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w30__fold_1__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,30,1,42,none,fc082660fbd5d35215a84f9373bbae5955875bbff3424a8d0646d2c8fc8f3b0f,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w30__fold_2__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,30,2,42,none,f684c529415540bf78bab7fb87a8afa7414a015d66b4de7ab73d04a4f3ee2025,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w30__fold_3__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,30,3,42,none,41041877ebb2d47c0ca9da031d548c7f6365a8c4ecd8ebfe69454615a8ad876f,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w30__fold_4__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,30,4,42,none,94473463d1ee0280d154fc53360f06d3ce540f0a69bb35767b51774c8cfe50b1,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w60__fold_1__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,60,1,42,none,4fcaaf814b2886737d70bbebc7157d6f41b6a355227981e2bf601869ad8b1046,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w60__fold_2__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,60,2,42,none,8b430ed06ad13a814f81d9f53c3c9edcf882b9e8f142623bf2daa532b64c76d2,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w60__fold_3__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,60,3,42,none,e313933808654574228ab5cf7e82e13a3c2b42122203c85cb375a74bdc9a3c04,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
final__screening__transform__minirocket_ridge__r0__w60__fold_4__seed_42,screening,transform,classical,screening,minirocket_ridge,R0,60,4,42,none,de87628300e1c4332b5569600b75028d32a0939469eec0fc7b12afd6705daabf,dependency_missing,new,,,2026-09-09T21:37:39+00:00,"sktime absent; python -m pip install -e ""fase_2[tsc]"""
historical__dummy,historical,rule,analysis,historical,,,,,,,historical_artifact,reused,historical,fase_2/outputs/metrics/dummy_baseline_summary.csv,,2026-09-09T20:56:38+00:00,historical analysis imported; do not retrain
historical__extractor_comparison,historical,rule,analysis,historical,,,,,,,historical_artifact,reused,historical,fase_2/outputs/metrics/G48A/g48a_video_04_extractor_summary.csv,,2026-09-09T20:56:38+00:00,historical analysis imported; do not retrain
historical__missingness,historical,rule,analysis,historical,,,,,,,historical_artifact,reused,historical,fase_2/outputs/metrics/facial_missingness.csv,,2026-09-09T20:56:38+00:00,historical analysis imported; do not retrain
historical__pose_robustness,historical,rule,analysis,historical,,,,,,,historical_artifact,reused,historical,fase_2/outputs/metrics/G46/g46_runs.csv,,2026-09-09T20:56:38+00:00,historical analysis imported; do not retrain
historical__threshold_crossfit,historical,rule,analysis,historical,,,,,,,historical_artifact,reused,historical,fase_2/outputs/metrics/G45/g45a_summary.csv,,2026-09-09T20:56:38+00:00,historical analysis imported; do not retrain
historical__yolo_exploratory,historical,rule,analysis,historical,,,,,,,historical_artifact,reused,historical,fase_2/outputs/metrics/G47/video_01__yolo26n-pose__cpu__summary.json,,2026-09-09T20:56:38+00:00,historical analysis imported; do not retrain
