run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__feature__dummy__r0_flat__w60__fold_4__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,4,42,none,10ffa36c7fce4310e992c3c28c0c6e97969d705fcf7e49c03480ce4f37ab164f,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_4__seed_42.joblib,0.597,2026-09-15T18:36:47+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,1,42,none,a4c57e673a6ef298a87cafca448e758180e485416f4d3c0cbf4e5df4dc61f320,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42.joblib,0.223,2026-09-15T18:36:53+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,2,42,none,59da8391e02e1a5fe716595af9cf0c9baecc321c10f061a95f132458311d9ef4,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42.joblib,0.201,2026-09-15T18:36:53+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,3,42,none,4cd18c6fd12b710d327aa0f9d426517a51ecb8d164958b8d7fe6a9e4d8e3d855,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42.joblib,0.181,2026-09-15T18:36:53+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,4,42,none,dfd35e6cbbf77ab3083991c23e295d66f04e13cc008f9a1af2a54db46203eb21,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42.joblib,0.207,2026-09-15T18:36:53+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,1,42,none,89bb38a45b99374488404b912a33488882478279f0f9ecaf47ac0db704cf3ba6,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_1__seed_42.joblib,0.042,2026-09-15T18:36:52+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,2,42,none,f551298e11f0c0bc86fa0516e311107f9095db3f7ab0a4425eb6f8f4f00459ae,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_2__seed_42.joblib,0.039,2026-09-15T18:36:52+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,3,42,none,309ec1523b20e7d5b60cd93e4ffe73488ec4c966664dbb6a8bcdf8f0a64f06ac,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_3__seed_42.joblib,0.038,2026-09-15T18:36:52+00:00,
final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,30,4,42,none,9a29acee87e82f861ccfd028dd02b9265e48a9d532e2ef89943c450a1bfdfacd,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42.joblib,0.040,2026-09-15T18:36:52+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,1,42,none,a7a6cd3fcfac16c41ac06696c4b4baf45467bbd5719c044153f990bffe0fc503,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42.joblib,0.066,2026-09-15T18:36:52+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,2,42,none,3eafe15a7cb43fd867be746e904c475328cc233cc323dd6413b69e9919308fed,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42.joblib,0.068,2026-09-15T18:36:53+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,3,42,none,e84928b3a014c92a07a5a8bb61ea2d4749a7c3ff456c00d15ef731d4dc17e4f5,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42.joblib,0.063,2026-09-15T18:36:53+00:00,
final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,60,4,42,none,a099839729fada21acd167fda152a4c1a3619e804f49344c5aca55355d45957c,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42.joblib,0.070,2026-09-15T18:36:53+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_1__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,1,42,none,83742f389dd5fb627fb377506fc0730943e03151641b5f98b3b139bf4c70892e,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_1__seed_42.joblib,8.734,2026-09-15T18:40:24+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_2__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,2,42,none,fba43049475995e665ffac11bc388bb8277d3ade576287da3910c4f2c219eb7a,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_2__seed_42.joblib,5.152,2026-09-15T18:40:29+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_3__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,3,42,none,5678fe8bf16082fbe2b1d960708ebea70160ba76fb41f5e5b174cb33e4f548a3,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_3__seed_42.joblib,8.043,2026-09-15T18:40:37+00:00,
final__screening__feature__random_forest__r0_flat__w150__fold_4__seed_42,screening,feature,classical,screening,random_forest,R0_flat,150,4,42,none,8c6d30a03f8d2afbecef2381bb4c41c5f7c199af31ade5b3022c71526028392f,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__random_forest__r0_flat__w150__fold_4__seed_42.joblib,10.553,2026-09-15T18:40:48+00:00,
final__screening__feature__random_forest__r0_flat__w30__fold_1__seed_42,screening,feature,classical,screening,random_forest,R0_flat,30,1,42,none,c257c954e8e1e36610b2e1a88423af9ad75795967618185b20dece85ba8051bd,completed,new,fase_2/outputs/binary_v1/comparison/checkpoints/final__screening__feature__random_forest__r0_flat__w30__fold_1__seed_42.joblib,3.972,2026-09-15T18:39:42+00:00,
