model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count,metric
tcn,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
tcn,D,augmentation,validation,alert,0.8850782529726288,0.03409205097620096,0.8953621629206914,0.8356997971602435,0.9138888888888889,4,recall
tcn,D,augmentation,validation,distraction,0.39985887751786875,0.06325622495938059,0.40744801819363224,0.3157894736842105,0.46875,4,recall
tcn,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
transformer,A,none,test,alert,0.918746213160284,0.04081532393866528,0.9343242766407904,0.8583509513742071,0.947985347985348,4,recall
transformer,A,none,test,distraction,0.4817843676051195,0.22174186235597987,0.5219566239172766,0.2076923076923077,0.675531914893617,4,recall
transformer,A,none,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
transformer,A,none,validation,alert,0.9076909366285126,0.03185443251088889,0.896196433947747,0.8844169246646026,0.953953953953954,4,recall
transformer,A,none,validation,distraction,0.3619487035226746,0.112271386151758,0.36805608184918526,0.23870967741935484,0.47297297297297297,4,recall
transformer,A,none,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
transformer,B,class_weights,test,alert,0.7857062702072836,0.1498944859378148,0.8101446034585569,0.6045871559633027,0.9179487179487179,4,recall
transformer,B,class_weights,test,distraction,0.662344005213183,0.24009156258739822,0.6405022493789028,0.3923076923076923,0.976063829787234,4,recall
transformer,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
transformer,B,class_weights,validation,alert,0.741934740487072,0.03620867286912107,0.7597681480363044,0.687624750499002,0.760577915376677,4,recall
transformer,B,class_weights,validation,distraction,0.49248229148117917,0.0512329722293036,0.47214854111405835,0.45806451612903226,0.5675675675675675,4,recall
transformer,B,class_weights,validation,fatigue,0.125,0.25,0.0,0.0,0.5,4,recall
transformer,C,weighted_sampling,test,alert,0.7834793167148618,0.14857836980471342,0.8049547351872933,0.6082568807339449,0.9157509157509157,4,recall
transformer,C,weighted_sampling,test,distraction,0.6579913434325796,0.22167941648755926,0.6322265493856174,0.4153846153846154,0.9521276595744681,4,recall
transformer,C,weighted_sampling,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
transformer,C,weighted_sampling,validation,alert,0.7381836773389944,0.03834197135007741,0.752680054356032,0.6816367265469062,0.7657378740970072,4,recall
transformer,C,weighted_sampling,validation,distraction,0.5091261600438464,0.03941670142554685,0.5104560622914349,0.46153846153846156,0.5540540540540541,4,recall
transformer,C,weighted_sampling,validation,fatigue,0.14583333333333334,0.2916666666666667,0.0,0.0,0.5833333333333334,4,recall
transformer,D,augmentation,test,alert,0.8840528621865298,0.06836542691111029,0.9019935490865724,0.7944954128440367,0.9377289377289377,4,recall
transformer,D,augmentation,test,distraction,0.557733885651087,0.2767350787941395,0.5951117974887531,0.19230769230769232,0.848404255319149,4,recall
transformer,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
transformer,D,augmentation,validation,alert,0.8625441627820909,0.03184697353829684,0.8684251608514815,0.8204334365325078,0.8928928928928929,4,recall
transformer,D,augmentation,validation,distraction,0.4736890195455268,0.03167155509506228,0.48309232480533926,0.42857142857142855,0.5,4,recall
transformer,D,augmentation,validation,fatigue,0.0,0.0,0.0,0.0,0.0,4,recall
