run_id,model,scenario,strategy,fold,subset,video_id,session_id,observed_hours,false_fatigue_windows,false_fatigue_episodes,false_windows_per_hour,false_episodes_per_hour
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,lstm,D,augmentation,3,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,lstm,D,augmentation,3,validation,video_04,session_04,0.09894167151620005,0,0,0.0,0.0
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,lstm,D,augmentation,3,test,video_03,session_03,0.49538827800487906,0,0,0.0,0.0
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,lstm,D,augmentation,4,validation,video_01,session_01,0.08484541579462511,0,0,0.0,0.0
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,lstm,D,augmentation,4,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,lstm,D,augmentation,4,validation,video_03,session_03,0.09897965594162766,0,0,0.0,0.0
G4__g4_d_augmentation_w60__lstm__r0__w60__fold_4__seed_42,lstm,D,augmentation,4,test,video_04,session_04,0.49564397622417944,0,0,0.0,0.0
G4__g4_d_augmentation_w60__svm__r0__w60__fold_1__seed_42,svm,D,augmentation,1,validation,video_02,session_02,0.099687,0,0,0.0,0.0
G4__g4_d_augmentation_w60__svm__r0__w60__fold_1__seed_42,svm,D,augmentation,1,validation,video_03,session_03,0.09897965594162766,6,4,60.618517440982465,40.41234496065498
G4__g4_d_augmentation_w60__svm__r0__w60__fold_1__seed_42,svm,D,augmentation,1,validation,video_04,session_04,0.09894167151620005,3,2,30.32089466478035,20.21392977652023
G4__g4_d_augmentation_w60__svm__r0__w60__fold_1__seed_42,svm,D,augmentation,1,test,video_01,session_01,0.4933518182717438,7,6,14.1886575477144,12.161706469469484
G4__g4_d_augmentation_w60__svm__r0__w60__fold_2__seed_42,svm,D,augmentation,2,validation,video_01,session_01,0.08484541579462511,10,5,117.86140602110753,58.93070301055376
G4__g4_d_augmentation_w60__svm__r0__w60__fold_2__seed_42,svm,D,augmentation,2,validation,video_03,session_03,0.09897965594162766,12,7,121.23703488196493,70.7216036811462
G4__g4_d_augmentation_w60__svm__r0__w60__fold_2__seed_42,svm,D,augmentation,2,validation,video_04,session_04,0.09894167151620005,9,6,90.96268399434105,60.6417893295607
G4__g4_d_augmentation_w60__svm__r0__w60__fold_2__seed_42,svm,D,augmentation,2,test,video_02,session_02,0.498435,37,29,74.23234724688274,58.1821100043135
