model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,scenario,balancing,seed
svm,r0_flat,1,test,fatigue,alert,32,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,fatigue,fatigue,1,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,fatigue,distraction,34,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,distraction,alert,98,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,distraction,fatigue,2,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,1,test,distraction,distraction,279,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_1__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,alert,alert,772,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,alert,fatigue,47,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,alert,distraction,261,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,fatigue,alert,12,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,fatigue,fatigue,1,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,fatigue,distraction,4,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,distraction,alert,46,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,distraction,fatigue,4,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,validation,distraction,distraction,26,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,alert,alert,1313,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,alert,fatigue,65,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,alert,distraction,193,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,fatigue,alert,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
svm,r0_flat,2,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w60__svm__r0__w60__fold_2__seed_42,G4,g4_c_weighted_sampling_w60,R0,60,C,weighted_sampling,42
