model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing,scenario,strategy,configuration_id
svm,r0_flat,3,test,fatigue,0.0,0.0,0.0,21,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,3,test,distraction,0.30454545454545456,0.5982142857142857,0.4036144578313253,112,G1__qualification_r0_flat__svm__r0_flat__w60__fold_3__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,4,validation,alert,0.9256465517241379,0.8488142292490118,0.8855670103092783,1012,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,4,validation,fatigue,0.02857142857142857,0.058823529411764705,0.038461538461538464,17,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,4,validation,distraction,0.2345679012345679,0.3958333333333333,0.29457364341085274,96,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,4,test,alert,0.8906426155580609,0.8254963427377221,0.8568329718004338,957,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,4,test,fatigue,,,,0,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,
svm,r0_flat,4,test,distraction,0.21621621621621623,0.2898550724637681,0.2476780185758514,138,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none,A,none,
lstm,temporal_r0,1,validation,alert,0.8996832101372756,0.8402366863905325,0.8689444161142275,1014,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,1,validation,fatigue,0.0,0.0,0.0,4,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,1,validation,distraction,0.30042918454935624,0.43209876543209874,0.35443037974683544,162,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,1,test,alert,0.9365284974093264,0.6645220588235294,0.7774193548387097,1088,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,1,test,fatigue,0.0,0.0,0.0,67,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,1,test,distraction,0.458005249343832,0.920844327176781,0.6117440841367222,379,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_1__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,2,validation,alert,0.9351145038167938,0.9074074074074074,0.9210526315789473,1080,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,2,validation,fatigue,0.0,0.0,0.0,17,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,2,validation,distraction,0.2,0.32894736842105265,0.24875621890547264,76,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,2,test,alert,0.9264613450659962,0.9382558879694463,0.9323213156230234,1571,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,2,test,fatigue,,,,0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,2,test,distraction,0.6446886446886447,0.6006825938566553,0.6219081272084805,293,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_2__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,3,validation,alert,0.8842105263157894,0.8519269776876268,0.8677685950413223,986,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,3,validation,fatigue,0.0,0.0,0.0,13,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,3,validation,distraction,0.2736318407960199,0.3618421052631579,0.311614730878187,152,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,3,test,alert,0.9439114391143911,0.9356254572055597,0.9397501836884644,1367,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
lstm,temporal_r0,3,test,fatigue,0.0,0.0,0.0,21,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,G2,R0,60,42,,A,none,qualification_r0_w60_b1024
