configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames,scenario,strategy
qualification_r0_w60_b1024,8,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8600424113904878,0.4349382076072751,0.5275475223646575,0.7775847089487402,0.5711306951338058,0.3892963175113844,60,A,none
qualification_r0_w60_b1024,9,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8682217509845501,0.4196955627273408,0.5392288930630765,0.7767158992180713,0.5559044914412353,0.38881486613725597,60,A,none
qualification_r0_w60_b1024,10,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8679188124810664,0.40757626679694064,0.5393811596221793,0.7767158992180713,0.5284794762562297,0.39010486505071346,60,A,none
qualification_r0_w60_b1024,11,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8694335049984853,0.4020146477930259,0.5404764813741763,0.7775847089487402,0.5268204708419397,0.39312777530650306,60,A,none
qualification_r0_w60_b1024,12,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8694335049984853,0.39960073572474875,0.5406657954933736,0.7775847089487402,0.5246598996953483,0.39058872182672144,60,A,none
qualification_r0_w60_b1024,13,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8679188124810664,0.4006280541889453,0.5396597492092692,0.7784535186794093,0.5318284816166093,0.3910740405170934,60,A,none
qualification_r0_w60_b1024,14,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8691305664950015,0.3994656857740731,0.5403483501678209,0.7801911381407471,0.5174913190039835,0.38538999829322407,60,A,none
qualification_r0_w60_b1024,15,3,G2,0.001,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8697364435019691,0.3985907025985088,0.538902895471983,0.7819287576020851,0.5316956206236996,0.39172576193093595,60,A,none
qualification_r0_w60_b1024,16,3,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8697364435019691,0.3976493041575298,0.5405047330864355,0.7810599478714162,0.5417183771354027,0.3950964464006144,60,A,none
qualification_r0_w60_b1024,17,3,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8718570130263557,0.39574119303306643,0.5427715754704159,0.787141615986099,0.5320549382917991,0.3946919269499915,60,A,none
qualification_r0_w60_b1024,18,3,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8718570130263557,0.3926948383247372,0.5419139281411722,0.788010425716768,0.5307724038147077,0.38833150556164814,60,A,none
qualification_r0_w60_b1024,19,3,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8718570130263557,0.3977561063818482,0.5421302815160678,0.7862728062554301,0.5327948886062869,0.3873598369011213,60,A,none
qualification_r0_w60_b1024,20,3,G2,0.0005,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8730687670402908,0.39445462861735686,0.5419827821377771,0.790616854908775,0.5249790748003563,0.38691530334504404,60,A,none
qualification_r0_w60_b1024,21,3,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8733717055437746,0.39373729858966133,0.5430869450942192,0.7862728062554301,0.529301753570265,0.3873598369011213,60,A,none
qualification_r0_w60_b1024,22,3,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8712511360193881,0.3943492114110558,0.5412810006286262,0.788010425716768,0.5282799590162149,0.39112751483572145,60,A,none
qualification_r0_w60_b1024,23,3,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8727658285368071,0.39363561828401517,0.5430322789536141,0.787141615986099,0.5249116231730252,0.38784486413788005,60,A,none
qualification_r0_w60_b1024,24,3,G2,0.00025,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.874280521054226,0.39434217141816486,0.5437499298249554,0.788010425716768,0.5208180265308566,0.3854633639794342,60,A,none
qualification_r0_w60_b1024,25,3,G2,0.000125,lstm,R0,G2__qualification_r0_w60_b1024__lstm__r0__w60__fold_3__seed_42,42,0.8718570130263557,0.3958589584763864,0.5413000707140019,0.788010425716768,0.5215226083372491,0.3854633639794342,60,A,none
