model,scenario,strategy,subset,label,mean,std,median,minimum,maximum,fold_count
svm,B,class_weights,test,distraction,0.4333759406189994,0.15860583162756745,0.45360674457591293,0.24858757062146894,0.5777027027027027,4
svm,B,class_weights,test,fatigue,0.0,0.0,0.0,0.0,0.0,4
svm,B,class_weights,validation,alert,0.8374998896589076,0.021329572822215648,0.8272515244232217,0.8260196179659267,0.8694768918232605,4
svm,B,class_weights,validation,distraction,0.2574252370828397,0.0790481461413466,0.25502161200101703,0.17391304347826086,0.34574468085106386,4
svm,B,class_weights,validation,fatigue,0.07447916666666667,0.12896910294287112,0.015625,0.0,0.26666666666666666,4
svm,C,weighted_sampling,test,alert,0.8313666870398212,0.051462996289400355,0.8398527849288695,0.7672064777327935,0.8785547005687521,4
svm,C,weighted_sampling,test,distraction,0.3951083181414997,0.1816490780913415,0.42095864661654137,0.18384401114206128,0.5546719681908548,4
svm,C,weighted_sampling,test,fatigue,0.005813953488372093,0.011627906976744186,0.0,0.0,0.023255813953488372,4
svm,C,weighted_sampling,validation,alert,0.8064684283297379,0.01803842585097034,0.807521815008726,0.7833894500561167,0.8274406332453826,4
svm,C,weighted_sampling,validation,distraction,0.22623718251319058,0.07063992035330487,0.22815246015246016,0.14168937329700274,0.3069544364508393,4
svm,C,weighted_sampling,validation,fatigue,0.04141304347826087,0.03544426535040307,0.04115942028985507,0.0,0.08333333333333333,4
svm,D,augmentation,test,alert,0.8842058211545707,0.029720984057385175,0.8870681759470186,0.8510170423309511,0.9116698903932946,4
svm,D,augmentation,test,distraction,0.4650500396625257,0.1758872062436697,0.47087813620071683,0.27405247813411077,0.6443914081145584,4
svm,D,augmentation,test,fatigue,0.0,0.0,0.0,0.0,0.0,4
svm,D,augmentation,validation,alert,0.8758364112250842,0.020852397115990226,0.8807942029457769,0.8470464135021097,0.8947108255066732,4
svm,D,augmentation,validation,distraction,0.29817468190014806,0.05214538652678502,0.29263762242485647,0.24096385542168675,0.36645962732919257,4
