trial,method,noise_sigma_px,pitch,yaw,roll,rmse_px,min_depth,all_positive_depth
74,iterative,0.01,36.81123926217659,-164.2161554136085,-174.08631294733027,3.118606198412424,-0.9577451577447199,False
74,sqpnp,0.01,39.83230108228176,37.69621480320042,-129.0491576537032,3.8435723498301324,0.8334522534359013,True
75,iterative,0.01,36.816713137188295,-164.24676031448695,-174.1221234087579,3.118036373935725,-0.9577017922695116,False
75,sqpnp,0.01,40.01559779592762,37.776112096543386,-129.1267884264927,3.8201410400186466,0.8334701065923469,True
76,iterative,0.01,31.79463573758507,65.62730367256178,-83.03105263695295,681.8686318715997,-0.08272673530048277,False
76,sqpnp,0.01,39.97293148894218,37.75803682849454,-129.10098054896238,3.8331002279798936,0.833241559788482,True
77,iterative,0.01,36.817895314888474,-164.22365668031716,-174.08246749390727,3.121686183964264,-0.9576262756398262,False
77,sqpnp,0.01,39.714561164578505,37.61007350691519,-129.0465978068615,3.857738947613207,0.8335103107859586,True
78,iterative,0.01,36.80599987208535,-164.2380585751463,-174.10965692693736,3.1206985612860993,-0.9578577681152679,False
78,sqpnp,0.01,39.819756983066384,37.67567945420646,-129.0446311106194,3.848583157238,0.8335086163120218,True
79,iterative,0.01,3.8024499314980384,-162.15732266767955,171.2299727818468,17.1962760414386,-3.242664514533082,False
79,sqpnp,0.01,39.70230263154209,37.605510012067704,-129.05181537049125,3.8568410340170223,0.8334908211255081,True
80,iterative,0.01,-40.21374225922941,-45.445554688069045,87.94273716160792,23.99375528994747,-14.262557786658876,False
80,sqpnp,0.01,39.741349732322156,37.62815742188031,-129.07574623884952,3.8483579194050455,0.8335963519951709,True
81,iterative,0.01,36.81870875611394,-164.19158280763457,-174.05456439340765,3.1183276120781787,-0.9578178968727734,False
81,sqpnp,0.01,39.85729299286572,37.725671364220325,-129.07424069911562,3.833716528965386,0.833648987147598,True
82,iterative,0.01,29.208891285550276,-153.7469980948716,-165.74550835278657,15.25273591081326,-2.4041826720695867,False
82,sqpnp,0.01,39.66673803669112,37.59384644029759,-129.04860262075718,3.858362240673106,0.8335910690351943,True
83,iterative,0.01,36.80768449467611,-164.21603443488274,-174.07505899062144,3.1149723334848165,-0.9576070477091416,False
83,sqpnp,0.01,39.77565253065736,37.65050391793879,-129.05709086689646,3.8461404370204915,0.8334737407678322,True
84,iterative,0.01,5.3431029811223265,-161.98868629780523,171.25524603232847,17.02716003352586,-3.1643302215814377,False
84,sqpnp,0.01,39.8244029575518,37.678039617045805,-129.0868670820134,3.8380882108430145,0.8333549451477713,True
85,iterative,0.01,36.8041434095406,-164.23011668954732,-174.06257852788974,3.112415653873857,-0.9576352532947439,False
85,sqpnp,0.01,39.76777375069206,37.62371435471535,-129.05721615371786,3.8439074931795663,0.8335441539254578,True
86,iterative,0.01,36.80806334075988,-164.21590977370997,-174.09824096508788,3.1219766876667725,-0.9575672189799229,False
86,sqpnp,0.01,39.73973650851808,37.63941645533386,-129.0481236756005,3.8571636468456165,0.8333691118312385,True
87,iterative,0.01,36.844455834191145,-164.25034247561277,-174.13018528777081,3.1161521497295865,-0.9575519580118672,False
87,sqpnp,0.01,39.794629153758684,37.6456102892664,-129.05221362587739,3.853304208048697,0.8333940433475104,True
88,iterative,0.01,36.801645139645835,-164.21739943509502,-174.08944646677344,3.1184660507569313,-0.957871680619947,False
88,sqpnp,0.01,39.891930043903905,37.726823208753366,-129.06847855224223,3.836892811299701,0.8335310335274627,True
89,iterative,0.01,36.83313066028358,-164.22739389544537,-174.09971253812924,3.1147968091260894,-0.957603722695231,False
89,sqpnp,0.01,39.618902948839505,37.55399587549483,-129.02066254872707,3.8689826196137225,0.8335832234641811,True
90,iterative,0.01,36.83764099976893,-164.2350883736029,-174.09421823539918,3.118368857579997,-0.9576402977021712,False
90,sqpnp,0.01,39.877457286301734,37.70306349847304,-129.07041213063133,3.839878083334328,0.8334468785163445,True
91,iterative,0.01,36.823753394560775,-164.21624435078644,-174.10401474620684,3.1166465025052905,-0.9576115825789182,False
91,sqpnp,0.01,39.80454146098743,37.67644130763586,-129.0775109111887,3.844236850038608,0.8335212614536557,True
92,iterative,0.01,36.802674329023546,-164.2215598662091,-174.12206016144523,3.1271388614769964,-0.957717955592462,False
92,sqpnp,0.01,39.829962019175895,37.69395321847612,-129.08453711331538,3.848013265512929,0.8334597920835387,True
93,iterative,0.01,-2.1484906598338753,-134.1052830472105,-171.2608365015353,17.130311651529183,-2.6376270551194816,False
93,sqpnp,0.01,39.81494222109569,37.66857185775602,-129.07691041681687,3.8399851591719214,0.8336589102371598,True
94,iterative,0.01,27.15790451454066,-162.18618477495818,-169.95071766304576,5.072234433146684,-1.1475197620537618,False
94,sqpnp,0.01,39.852752011625554,37.69546759645228,-129.07758734867235,3.8369941976452315,0.833648741480602,True
95,iterative,0.01,36.820289875489124,-164.2451526036519,-174.1576135860389,3.11006602396429,-0.9576795932490794,False
95,sqpnp,0.01,39.777270047078844,37.63455369111883,-129.110757600966,3.842941794811271,0.8337620921247977,True
96,iterative,0.01,36.822406388145176,-164.25390058864997,-174.11863485646236,3.116304659546241,-0.9579174796726722,False
96,sqpnp,0.01,39.925079455649275,37.71185677155374,-129.09576310606792,3.8342970680004083,0.8336822917392274,True
97,iterative,0.01,36.834931284162245,-164.24749278961167,-174.0833673908851,3.1193464858300026,-0.957508695435617,False
97,sqpnp,0.01,39.995528774871474,37.76385293694543,-129.059552257527,3.8317714028334575,0.8330995602931638,True
98,iterative,0.01,36.79804626835593,-164.2094432274754,-174.05453299987087,3.1182112739428893,-0.9577923235374857,False
98,sqpnp,0.01,39.94886581052675,37.76270836593273,-129.06857803265083,3.826305251908537,0.8334184342754788,True
99,iterative,0.01,36.749975558455255,-164.21051109119486,-174.07656567805424,3.117784567852138,-0.9578067200334947,False
99,sqpnp,0.01,39.882063981735726,37.72385843804874,-129.05929321436264,3.834761510085651,0.8333444424772344,True
