model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,representation,window_size_frames,seed,balancing
random_forest,r0_flat,3,validation,alert,0.881808838643371,0.8640483383685801,0.8728382502543235,993,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,3,validation,fatigue,0.0,0.0,0.0,13,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,3,validation,distraction,0.2702702702702703,0.32894736842105265,0.29673590504451036,152,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,3,test,alert,0.9369108049311095,0.9423778264040846,0.9396363636363636,1371,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,3,test,fatigue,0.0,0.0,0.0,25,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,3,test,distraction,0.39552238805970147,0.452991452991453,0.42231075697211157,117,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,validation,alert,0.8832644628099173,0.8610271903323263,0.8720040795512494,993,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,validation,fatigue,0.0,0.0,0.0,13,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,validation,distraction,0.2736842105263158,0.34210526315789475,0.30409356725146197,152,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,test,alert,0.936046511627907,0.9394602479941648,0.9377502730251183,1371,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,test,fatigue,0.0,0.0,0.0,25,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,3,test,distraction,0.3795620437956204,0.4444444444444444,0.4094488188976378,117,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,validation,alert,0.8067796610169492,0.2337917485265226,0.3625285605483625,1018,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,validation,fatigue,0.0,0.0,0.0,20,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,validation,distraction,0.059453032104637336,0.5050505050505051,0.10638297872340426,99,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,4,test,alert,0.8081632653061225,0.20625,0.32863070539419087,960,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_4__seed_42,G1,R0_flat,30,42,none
