model,ablation,fold,subset,actual,predicted,count,run_id,generation,representation,window_size_frames,seed,balancing
svm,r0_flat,2,test,fatigue,alert,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,distraction,alert,111,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,distraction,fatigue,5,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,2,test,distraction,distraction,179,G1__qualification_r0_flat__svm__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,alert,alert,965,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,alert,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,alert,distraction,121,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,fatigue,alert,20,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,fatigue,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,fatigue,distraction,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,distraction,alert,51,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,distraction,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,validation,distraction,distraction,28,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,alert,alert,1471,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,alert,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,alert,distraction,109,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,fatigue,alert,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,fatigue,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,fatigue,distraction,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,distraction,alert,112,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,distraction,fatigue,0,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
random_forest,r0_flat,2,test,distraction,distraction,183,G1__qualification_r0_flat__random_forest__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,alert,alert,966,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,alert,fatigue,1,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,alert,distraction,119,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,fatigue,alert,20,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,fatigue,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,fatigue,distraction,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,distraction,alert,51,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,distraction,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,validation,distraction,distraction,28,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,alert,alert,1472,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,alert,fatigue,1,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,alert,distraction,107,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,fatigue,alert,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,fatigue,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,fatigue,distraction,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,distraction,alert,116,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,distraction,fatigue,0,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
xgboost,r0_flat,2,test,distraction,distraction,179,G1__qualification_r0_flat__xgboost__r0_flat__w30__fold_2__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,alert,alert,280,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,alert,fatigue,1,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,alert,distraction,712,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,fatigue,alert,7,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,fatigue,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,fatigue,distraction,6,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,distraction,alert,62,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,distraction,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,validation,distraction,distraction,90,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,alert,alert,120,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,alert,fatigue,2,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,alert,distraction,1249,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,fatigue,alert,5,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,fatigue,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,fatigue,distraction,20,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,distraction,alert,71,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,distraction,fatigue,0,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
fixed_rules,r0_flat,3,test,distraction,distraction,46,G1__qualification_r0_flat__fixed_rules__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,alert,alert,824,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,alert,fatigue,6,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,alert,distraction,163,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,fatigue,alert,13,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,fatigue,fatigue,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,fatigue,distraction,0,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,distraction,alert,97,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,distraction,fatigue,2,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,validation,distraction,distraction,53,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,alert,alert,1220,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,alert,fatigue,13,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,alert,distraction,138,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
svm,r0_flat,3,test,fatigue,alert,21,G1__qualification_r0_flat__svm__r0_flat__w30__fold_3__seed_42,G1,R0_flat,30,42,none
