model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,representation,window_size_frames,seed,balancing
fixed_rules,r0_flat,4,test,1095,0.1415525114155251,0.3724501385670801,0.15570323166136618,0.10380215444091079,"[""alert"", ""distraction""]","[""fatigue""]",0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,4,validation,1125,0.7982222222222223,0.43449036399803664,0.4062007307272231,0.4062007307272231,"[""alert"", ""fatigue"", ""distraction""]",[],13.603763699997216,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
svm,r0_flat,4,test,1095,0.7579908675799086,0.5576757076007451,0.5522554951881427,0.36817033012542844,"[""alert"", ""distraction""]","[""fatigue""]",13.603763699997216,True,G1__qualification_r0_flat__svm__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,4,validation,1125,0.8364444444444444,0.44823232323232326,0.4173582611339109,0.4173582611339109,"[""alert"", ""fatigue"", ""distraction""]",[],1.2971918000002916,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
random_forest,r0_flat,4,test,1095,0.7589041095890411,0.5737017854709009,0.5552232192311952,0.3701488128207968,"[""alert"", ""distraction""]","[""fatigue""]",1.2971918000002916,True,G1__qualification_r0_flat__random_forest__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,4,validation,1125,0.8311111111111111,0.44311319718928416,0.4127930279101734,0.4127930279101734,"[""alert"", ""fatigue"", ""distraction""]",[],1.6879581999965012,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
xgboost,r0_flat,4,test,1095,0.7698630136986301,0.5768706555813002,0.5613036565977743,0.3742024377318495,"[""alert"", ""distraction""]","[""fatigue""]",1.6879581999965012,True,G1__qualification_r0_flat__xgboost__r0_flat__w60__fold_4__seed_42,G1,R0_flat,60,42,none
fixed_rules,r0_flat,1,validation,1155,0.08744588744588745,0.20266933600266934,0.05967172639229392,0.05967172639229392,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
fixed_rules,r0_flat,1,test,1528,0.1106020942408377,0.23136046797176554,0.10741420597874458,0.10741420597874458,"[""alert"", ""fatigue"", ""distraction""]",[],0.0,False,G1__qualification_r0_flat__fixed_rules__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
svm,r0_flat,1,validation,1155,0.8025974025974026,0.3910684878426814,0.39386493341788203,0.39386493341788203,"[""alert"", ""fatigue"", ""distraction""]",[],4.575780499999382,True,G1__qualification_r0_flat__svm__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
svm,r0_flat,1,test,1528,0.643324607329843,0.4301109376016657,0.40377122398792636,0.40377122398792636,"[""alert"", ""fatigue"", ""distraction""]",[],4.575780499999382,True,G1__qualification_r0_flat__svm__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
random_forest,r0_flat,1,validation,1155,0.8562770562770563,0.3881365236203946,0.39988943007501954,0.39988943007501954,"[""alert"", ""fatigue"", ""distraction""]",[],1.7757083000033163,True,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
random_forest,r0_flat,1,test,1528,0.8075916230366492,0.49757791658533407,0.5036017669045192,0.5036017669045192,"[""alert"", ""fatigue"", ""distraction""]",[],1.7757083000033163,True,G1__qualification_r0_flat__random_forest__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
xgboost,r0_flat,1,validation,1155,0.8614718614718615,0.3937722668905465,0.40757009596273774,0.40757009596273774,"[""alert"", ""fatigue"", ""distraction""]",[],2.2949417999989237,True,G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
xgboost,r0_flat,1,test,1528,0.8160994764397905,0.5091027392803696,0.5137129723387499,0.5137129723387499,"[""alert"", ""fatigue"", ""distraction""]",[],2.2949417999989237,True,G1__qualification_r0_flat__xgboost__r0_flat__w150__fold_1__seed_42,G1,R0_flat,150,42,none
