ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,55,2,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,2,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,24,2,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,1493,2,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,0,2,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,87,2,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,123,2,G2,tcn,alert,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,2,G2,tcn,fatigue,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,distraction,qualification_r0_w30_b1024,172,2,G2,tcn,distraction,R0,G2__qualification_r0_w30_b1024__tcn__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,979,2,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,0,2,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,107,2,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,20,2,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,53,2,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,0,2,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,distraction,qualification_r0_w30_b1024,26,2,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,validation,30
temporal_r0,alert,qualification_r0_w30_b1024,1480,2,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,0,2,G2,transformer,fatigue,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,alert,qualification_r0_w30_b1024,100,2,G2,transformer,distraction,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
temporal_r0,fatigue,qualification_r0_w30_b1024,0,2,G2,transformer,alert,R0,G2__qualification_r0_w30_b1024__transformer__r0__w30__fold_2__seed_42,42,test,30
