model,ablation,fold,subset,actual,predicted,count
random_forest,facial_plus_missingness,1,test,alert,fatigue,0
random_forest,facial_plus_missingness,1,test,alert,distraction,73
random_forest,facial_plus_missingness,1,test,fatigue,alert,50
random_forest,facial_plus_missingness,1,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,1,test,fatigue,distraction,17
random_forest,facial_plus_missingness,1,test,distraction,alert,153
random_forest,facial_plus_missingness,1,test,distraction,fatigue,0
random_forest,facial_plus_missingness,1,test,distraction,distraction,226
xgboost,facial_plus_missingness,1,validation,alert,alert,856
xgboost,facial_plus_missingness,1,validation,alert,fatigue,6
xgboost,facial_plus_missingness,1,validation,alert,distraction,152
xgboost,facial_plus_missingness,1,validation,fatigue,alert,3
xgboost,facial_plus_missingness,1,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,1,validation,fatigue,distraction,1
xgboost,facial_plus_missingness,1,validation,distraction,alert,89
xgboost,facial_plus_missingness,1,validation,distraction,fatigue,1
xgboost,facial_plus_missingness,1,validation,distraction,distraction,72
xgboost,facial_plus_missingness,1,test,alert,alert,955
xgboost,facial_plus_missingness,1,test,alert,fatigue,1
xgboost,facial_plus_missingness,1,test,alert,distraction,132
xgboost,facial_plus_missingness,1,test,fatigue,alert,46
xgboost,facial_plus_missingness,1,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,1,test,fatigue,distraction,21
xgboost,facial_plus_missingness,1,test,distraction,alert,100
xgboost,facial_plus_missingness,1,test,distraction,fatigue,1
xgboost,facial_plus_missingness,1,test,distraction,distraction,278
svm,facial_plus_missingness,2,validation,alert,alert,799
svm,facial_plus_missingness,2,validation,alert,fatigue,96
svm,facial_plus_missingness,2,validation,alert,distraction,185
svm,facial_plus_missingness,2,validation,fatigue,alert,15
svm,facial_plus_missingness,2,validation,fatigue,fatigue,2
svm,facial_plus_missingness,2,validation,fatigue,distraction,0
svm,facial_plus_missingness,2,validation,distraction,alert,31
svm,facial_plus_missingness,2,validation,distraction,fatigue,5
svm,facial_plus_missingness,2,validation,distraction,distraction,40
svm,facial_plus_missingness,2,test,alert,alert,1378
svm,facial_plus_missingness,2,test,alert,fatigue,72
svm,facial_plus_missingness,2,test,alert,distraction,121
svm,facial_plus_missingness,2,test,fatigue,alert,0
svm,facial_plus_missingness,2,test,fatigue,fatigue,0
svm,facial_plus_missingness,2,test,fatigue,distraction,0
svm,facial_plus_missingness,2,test,distraction,alert,92
svm,facial_plus_missingness,2,test,distraction,fatigue,19
svm,facial_plus_missingness,2,test,distraction,distraction,182
random_forest,facial_plus_missingness,2,validation,alert,alert,947
random_forest,facial_plus_missingness,2,validation,alert,fatigue,6
random_forest,facial_plus_missingness,2,validation,alert,distraction,127
random_forest,facial_plus_missingness,2,validation,fatigue,alert,17
random_forest,facial_plus_missingness,2,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,2,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,2,validation,distraction,alert,45
random_forest,facial_plus_missingness,2,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,2,validation,distraction,distraction,31
random_forest,facial_plus_missingness,2,test,alert,alert,1458
random_forest,facial_plus_missingness,2,test,alert,fatigue,3
random_forest,facial_plus_missingness,2,test,alert,distraction,110
random_forest,facial_plus_missingness,2,test,fatigue,alert,0
random_forest,facial_plus_missingness,2,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,2,test,fatigue,distraction,0
random_forest,facial_plus_missingness,2,test,distraction,alert,102
random_forest,facial_plus_missingness,2,test,distraction,fatigue,2
random_forest,facial_plus_missingness,2,test,distraction,distraction,189
xgboost,facial_plus_missingness,2,validation,alert,alert,893
xgboost,facial_plus_missingness,2,validation,alert,fatigue,21
xgboost,facial_plus_missingness,2,validation,alert,distraction,166
xgboost,facial_plus_missingness,2,validation,fatigue,alert,16
xgboost,facial_plus_missingness,2,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,2,validation,fatigue,distraction,1
xgboost,facial_plus_missingness,2,validation,distraction,alert,35
xgboost,facial_plus_missingness,2,validation,distraction,fatigue,1
xgboost,facial_plus_missingness,2,validation,distraction,distraction,40
xgboost,facial_plus_missingness,2,test,alert,alert,1443
xgboost,facial_plus_missingness,2,test,alert,fatigue,12
xgboost,facial_plus_missingness,2,test,alert,distraction,116
xgboost,facial_plus_missingness,2,test,fatigue,alert,0
xgboost,facial_plus_missingness,2,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,2,test,fatigue,distraction,0
xgboost,facial_plus_missingness,2,test,distraction,alert,100
xgboost,facial_plus_missingness,2,test,distraction,fatigue,4
xgboost,facial_plus_missingness,2,test,distraction,distraction,189
svm,facial_plus_missingness,3,validation,alert,alert,778
svm,facial_plus_missingness,3,validation,alert,fatigue,36
svm,facial_plus_missingness,3,validation,alert,distraction,172
svm,facial_plus_missingness,3,validation,fatigue,alert,13
svm,facial_plus_missingness,3,validation,fatigue,fatigue,0
svm,facial_plus_missingness,3,validation,fatigue,distraction,0
svm,facial_plus_missingness,3,validation,distraction,alert,83
svm,facial_plus_missingness,3,validation,distraction,fatigue,7
svm,facial_plus_missingness,3,validation,distraction,distraction,62
svm,facial_plus_missingness,3,test,alert,alert,1236
svm,facial_plus_missingness,3,test,alert,fatigue,14
svm,facial_plus_missingness,3,test,alert,distraction,117
svm,facial_plus_missingness,3,test,fatigue,alert,16
svm,facial_plus_missingness,3,test,fatigue,fatigue,0
svm,facial_plus_missingness,3,test,fatigue,distraction,5
svm,facial_plus_missingness,3,test,distraction,alert,49
svm,facial_plus_missingness,3,test,distraction,fatigue,5
svm,facial_plus_missingness,3,test,distraction,distraction,58
random_forest,facial_plus_missingness,3,validation,alert,alert,867
random_forest,facial_plus_missingness,3,validation,alert,fatigue,6
random_forest,facial_plus_missingness,3,validation,alert,distraction,113
random_forest,facial_plus_missingness,3,validation,fatigue,alert,13
random_forest,facial_plus_missingness,3,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,3,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,3,validation,distraction,alert,99
random_forest,facial_plus_missingness,3,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,3,validation,distraction,distraction,53
random_forest,facial_plus_missingness,3,test,alert,alert,1297
random_forest,facial_plus_missingness,3,test,alert,fatigue,0
random_forest,facial_plus_missingness,3,test,alert,distraction,70
random_forest,facial_plus_missingness,3,test,fatigue,alert,19
random_forest,facial_plus_missingness,3,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,3,test,fatigue,distraction,2
random_forest,facial_plus_missingness,3,test,distraction,alert,59
random_forest,facial_plus_missingness,3,test,distraction,fatigue,0
random_forest,facial_plus_missingness,3,test,distraction,distraction,53
xgboost,facial_plus_missingness,3,validation,alert,alert,784
xgboost,facial_plus_missingness,3,validation,alert,fatigue,15
xgboost,facial_plus_missingness,3,validation,alert,distraction,187
xgboost,facial_plus_missingness,3,validation,fatigue,alert,13
xgboost,facial_plus_missingness,3,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,3,validation,fatigue,distraction,0
xgboost,facial_plus_missingness,3,validation,distraction,alert,87
xgboost,facial_plus_missingness,3,validation,distraction,fatigue,2
xgboost,facial_plus_missingness,3,validation,distraction,distraction,63
xgboost,facial_plus_missingness,3,test,alert,alert,1257
xgboost,facial_plus_missingness,3,test,alert,fatigue,5
xgboost,facial_plus_missingness,3,test,alert,distraction,105
xgboost,facial_plus_missingness,3,test,fatigue,alert,16
xgboost,facial_plus_missingness,3,test,fatigue,fatigue,0
xgboost,facial_plus_missingness,3,test,fatigue,distraction,5
xgboost,facial_plus_missingness,3,test,distraction,alert,42
xgboost,facial_plus_missingness,3,test,distraction,fatigue,0
xgboost,facial_plus_missingness,3,test,distraction,distraction,70
svm,facial_plus_missingness,4,validation,alert,alert,775
svm,facial_plus_missingness,4,validation,alert,fatigue,62
svm,facial_plus_missingness,4,validation,alert,distraction,175
svm,facial_plus_missingness,4,validation,fatigue,alert,15
svm,facial_plus_missingness,4,validation,fatigue,fatigue,2
svm,facial_plus_missingness,4,validation,fatigue,distraction,0
svm,facial_plus_missingness,4,validation,distraction,alert,40
svm,facial_plus_missingness,4,validation,distraction,fatigue,13
svm,facial_plus_missingness,4,validation,distraction,distraction,43
