model,ablation,fold,subset,actual,predicted,count,preprocessing,window_size_frames,num_features
xgboost,all_features,4,test,distraction,alert,86,zero_fill_baseline,30,14
xgboost,all_features,4,test,distraction,fatigue,0,zero_fill_baseline,30,14
xgboost,all_features,4,test,distraction,distraction,55,zero_fill_baseline,30,14
svm,all_features,1,validation,alert,alert,727,short_gap_interpolation,30,14
svm,all_features,1,validation,alert,fatigue,104,short_gap_interpolation,30,14
svm,all_features,1,validation,alert,distraction,191,short_gap_interpolation,30,14
svm,all_features,1,validation,fatigue,alert,3,short_gap_interpolation,30,14
svm,all_features,1,validation,fatigue,fatigue,3,short_gap_interpolation,30,14
svm,all_features,1,validation,fatigue,distraction,1,short_gap_interpolation,30,14
svm,all_features,1,validation,distraction,alert,90,short_gap_interpolation,30,14
svm,all_features,1,validation,distraction,fatigue,4,short_gap_interpolation,30,14
svm,all_features,1,validation,distraction,distraction,71,short_gap_interpolation,30,14
svm,all_features,1,test,alert,alert,805,short_gap_interpolation,30,14
svm,all_features,1,test,alert,fatigue,67,short_gap_interpolation,30,14
svm,all_features,1,test,alert,distraction,216,short_gap_interpolation,30,14
svm,all_features,1,test,fatigue,alert,33,short_gap_interpolation,30,14
svm,all_features,1,test,fatigue,fatigue,3,short_gap_interpolation,30,14
svm,all_features,1,test,fatigue,distraction,32,short_gap_interpolation,30,14
svm,all_features,1,test,distraction,alert,90,short_gap_interpolation,30,14
svm,all_features,1,test,distraction,fatigue,3,short_gap_interpolation,30,14
svm,all_features,1,test,distraction,distraction,286,short_gap_interpolation,30,14
random_forest,all_features,1,validation,alert,alert,937,short_gap_interpolation,30,14
random_forest,all_features,1,validation,alert,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,1,validation,alert,distraction,85,short_gap_interpolation,30,14
random_forest,all_features,1,validation,fatigue,alert,7,short_gap_interpolation,30,14
random_forest,all_features,1,validation,fatigue,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,1,validation,fatigue,distraction,0,short_gap_interpolation,30,14
random_forest,all_features,1,validation,distraction,alert,109,short_gap_interpolation,30,14
random_forest,all_features,1,validation,distraction,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,1,validation,distraction,distraction,56,short_gap_interpolation,30,14
random_forest,all_features,1,test,alert,alert,1008,short_gap_interpolation,30,14
random_forest,all_features,1,test,alert,fatigue,0,short_gap_interpolation,30,14
random_forest,all_features,1,test,alert,distraction,80,short_gap_interpolation,30,14
