model,ablation,fold,subset,label,precision,recall,f1,support
xgboost,facial_plus_missingness,4,test,distraction,0.23346303501945526,0.43478260869565216,0.3037974683544304,138
svm,missingness_only,1,validation,alert,0.9136939010356732,0.7830374753451677,0.8433351035581519,1014
svm,missingness_only,1,validation,fatigue,0.016,0.5,0.031007751937984496,4
svm,missingness_only,1,validation,distraction,0.34408602150537637,0.3950617283950617,0.367816091954023,162
svm,missingness_only,1,test,alert,0.9001956947162426,0.8455882352941176,0.8720379146919431,1088
svm,missingness_only,1,test,fatigue,0.11278195488721804,0.22388059701492538,0.15,67
svm,missingness_only,1,test,distraction,0.6649076517150396,0.6649076517150396,0.6649076517150396,379
random_forest,missingness_only,1,validation,alert,0.8921971252566735,0.8570019723865878,0.8742454728370221,1014
random_forest,missingness_only,1,validation,fatigue,0.0,0.0,0.0,4
random_forest,missingness_only,1,validation,distraction,0.2935323383084577,0.36419753086419754,0.325068870523416,162
random_forest,missingness_only,1,test,alert,0.8570159857904085,0.8869485294117647,0.8717253839205059,1088
random_forest,missingness_only,1,test,fatigue,0.14285714285714285,0.029850746268656716,0.04938271604938271,67
random_forest,missingness_only,1,test,distraction,0.631979695431472,0.6569920844327177,0.6442432082794308,379
xgboost,missingness_only,1,validation,alert,0.9049723756906077,0.8076923076923077,0.8535695674830641,1014
xgboost,missingness_only,1,validation,fatigue,0.0,0.0,0.0,4
xgboost,missingness_only,1,validation,distraction,0.29004329004329005,0.41358024691358025,0.34096692111959287,162
xgboost,missingness_only,1,test,alert,0.9018286814244466,0.8612132352941176,0.8810531264692054,1088
xgboost,missingness_only,1,test,fatigue,0.16326530612244897,0.11940298507462686,0.13793103448275862,67
xgboost,missingness_only,1,test,distraction,0.6278026905829597,0.7387862796833773,0.6787878787878788,379
svm,missingness_only,2,validation,alert,0.9497716894977168,0.7703703703703704,0.8507157464212679,1080
svm,missingness_only,2,validation,fatigue,0.01015228426395939,0.11764705882352941,0.018691588785046728,17
svm,missingness_only,2,validation,distraction,0.19,0.25,0.2159090909090909,76
svm,missingness_only,2,test,alert,0.938229238160604,0.8701464035646085,0.9029062087186261,1571
svm,missingness_only,2,test,fatigue,,,,0
svm,missingness_only,2,test,distraction,0.6872427983539094,0.5699658703071673,0.6231343283582089,293
random_forest,missingness_only,2,validation,alert,0.940552016985138,0.8203703703703704,0.8763600395647874,1080
random_forest,missingness_only,2,validation,fatigue,0.0,0.0,0.0,17
random_forest,missingness_only,2,validation,distraction,0.16145833333333334,0.40789473684210525,0.23134328358208955,76
random_forest,missingness_only,2,test,alert,0.9347970725216235,0.8943348185868873,0.9141184124918673,1571
random_forest,missingness_only,2,test,fatigue,,,,0
random_forest,missingness_only,2,test,distraction,0.5762195121951219,0.6450511945392492,0.6086956521739131,293
xgboost,missingness_only,2,validation,alert,0.9487179487179487,0.787962962962963,0.860900354071826,1080
xgboost,missingness_only,2,validation,fatigue,0.0,0.0,0.0,17
xgboost,missingness_only,2,validation,distraction,0.2012987012987013,0.40789473684210525,0.26956521739130435,76
xgboost,missingness_only,2,test,alert,0.9376693766937669,0.8809675366008911,0.9084345257630456,1571
xgboost,missingness_only,2,test,fatigue,,,,0
xgboost,missingness_only,2,test,distraction,0.6116838487972509,0.6075085324232082,0.6095890410958904,293
svm,missingness_only,3,validation,alert,0.9002433090024331,0.7505070993914807,0.8185840707964602,986
svm,missingness_only,3,validation,fatigue,0.0,0.0,0.0,13
svm,missingness_only,3,validation,distraction,0.2605633802816901,0.24342105263157895,0.25170068027210885,152
svm,missingness_only,3,test,alert,0.9755686604886268,0.8471104608632041,0.9068128425998434,1367
svm,missingness_only,3,test,fatigue,0.06217616580310881,0.5714285714285714,0.11214953271028037,21
svm,missingness_only,3,test,distraction,0.325,0.3482142857142857,0.33620689655172414,112
random_forest,missingness_only,3,validation,alert,0.8896321070234113,0.8093306288032455,0.8475836431226765,986
random_forest,missingness_only,3,validation,fatigue,0.0,0.0,0.0,13
random_forest,missingness_only,3,validation,distraction,0.2645739910313901,0.3881578947368421,0.31466666666666665,152
random_forest,missingness_only,3,test,alert,0.9503437738731857,0.9100219458668617,0.929745889387145,1367
random_forest,missingness_only,3,test,fatigue,0.030303030303030304,0.047619047619047616,0.037037037037037035,21
random_forest,missingness_only,3,test,distraction,0.3291139240506329,0.4642857142857143,0.3851851851851852,112
xgboost,missingness_only,3,validation,alert,0.8957845433255269,0.7758620689655172,0.8315217391304348,986
xgboost,missingness_only,3,validation,fatigue,0.0,0.0,0.0,13
xgboost,missingness_only,3,validation,distraction,0.2727272727272727,0.27631578947368424,0.27450980392156865,152
xgboost,missingness_only,3,test,alert,0.9639423076923077,0.8800292611558157,0.920076481835564,1367
xgboost,missingness_only,3,test,fatigue,0.030303030303030304,0.19047619047619047,0.05228758169934641,21
xgboost,missingness_only,3,test,distraction,0.35833333333333334,0.38392857142857145,0.3706896551724138,112
svm,missingness_only,4,validation,alert,0.936046511627907,0.7954545454545454,0.8600427350427351,1012
svm,missingness_only,4,validation,fatigue,0.013157894736842105,0.11764705882352941,0.023668639053254437,17
svm,missingness_only,4,validation,distraction,0.24778761061946902,0.2916666666666667,0.2679425837320574,96
svm,missingness_only,4,test,alert,0.907608695652174,0.6980146290491118,0.7891317188422918,957
svm,missingness_only,4,test,fatigue,,,,0
svm,missingness_only,4,test,distraction,0.2,0.21014492753623187,0.2049469964664311,138
random_forest,missingness_only,4,validation,alert,0.9317931793179318,0.8369565217391305,0.8818323789692868,1012
random_forest,missingness_only,4,validation,fatigue,0.0,0.0,0.0,17
random_forest,missingness_only,4,validation,distraction,0.2596685082872928,0.4895833333333333,0.33935018050541516,96
random_forest,missingness_only,4,test,alert,0.9043478260869565,0.7607105538140021,0.8263337116912599,957
random_forest,missingness_only,4,test,fatigue,,,,0
random_forest,missingness_only,4,test,distraction,0.20816326530612245,0.3695652173913043,0.26631853785900783,138
xgboost,missingness_only,4,validation,alert,0.9325714285714286,0.8063241106719368,0.8648648648648649,1012
xgboost,missingness_only,4,validation,fatigue,0.0,0.0,0.0,17
xgboost,missingness_only,4,validation,distraction,0.272,0.3541666666666667,0.3076923076923077,96
xgboost,missingness_only,4,test,alert,0.9050131926121372,0.7168234064785789,0.8,957
xgboost,missingness_only,4,test,fatigue,,,,0
xgboost,missingness_only,4,test,distraction,0.20958083832335328,0.2536231884057971,0.22950819672131148,138
