model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,candidate_id,parameters
random_forest,facial_plus_missingness,4,test,1095,0.7771689497716895,0.587251828631139,0.5711010941593466,0.38073406277289773,"[""alert"", ""distraction""]","[""fatigue""]",2.0092124000002514,False,862912140178,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,facial_plus_missingness,4,validation,1125,0.7644444444444445,0.4726807719135085,0.41736046870181925,0.41736046870181925,"[""alert"", ""fatigue"", ""distraction""]",[],0.5259643999997934,False,5019e0e4e655,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,facial_plus_missingness,4,test,1095,0.6721461187214612,0.5426718458952342,0.5359133717042565,0.35727558113617097,"[""alert"", ""distraction""]","[""fatigue""]",0.5259643999997934,False,5019e0e4e655,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,missingness_only,1,validation,1180,0.7288135593220338,0.562824165388268,0.41626773049645394,0.41626773049645394,"[""alert"", ""fatigue"", ""distraction""]",[],0.5099989000009373,False,8b5eb616ca11,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": 0.1, ""kernel"": ""rbf""}"
svm,missingness_only,1,test,1534,0.7731421121251629,0.5778191221256747,0.5618449008609191,0.5618449008609191,"[""alert"", ""fatigue"", ""distraction""]",[],0.5099989000009373,False,8b5eb616ca11,"{""C"": 10.0, ""class_weight"": ""balanced"", ""gamma"": 0.1, ""kernel"": ""rbf""}"
random_forest,missingness_only,1,validation,1180,0.7864406779661017,0.4157109114374071,0.40604587160953115,0.40604587160953115,"[""alert"", ""fatigue"", ""distraction""]",[],1.7680254000006244,False,4643bba06fbb,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,missingness_only,1,test,1534,0.7907431551499348,0.5213854626834785,0.519649277753572,0.519649277753572,"[""alert"", ""fatigue"", ""distraction""]",[],1.7680254000006244,False,4643bba06fbb,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 500, ""n_jobs"": -1}"
xgboost,missingness_only,1,validation,1180,0.7516949152542373,0.4091484647040202,0.4022721069099391,0.4022721069099391,"[""alert"", ""fatigue"", ""distraction""]",[],1.1757273999992321,False,2ac28921e2fc,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,missingness_only,1,test,1534,0.803129074315515,0.5845326057706192,0.5766576008492706,0.5766576008492706,"[""alert"", ""fatigue"", ""distraction""]",[],1.1757273999992321,False,2ac28921e2fc,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 30, ""eval_metric"": ""mlogloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""multi:softprob"", ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm,missingness_only,2,validation,1173,0.7340153452685422,0.4144268623628789,0.37525982258222385,0.37525982258222385,"[""alert"", ""fatigue"", ""distraction""]",[],0.15914100000009057,False,34c97e51572e,"{""C"": 1.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
svm,missingness_only,2,test,1864,0.8315450643776824,0.7473598912020994,0.7713831742893831,0.5142554495262553,"[""alert"", ""distraction""]","[""fatigue""]",0.15914100000009057,False,34c97e51572e,"{""C"": 1.0, ""class_weight"": ""balanced"", ""kernel"": ""linear""}"
random_forest,missingness_only,2,validation,1173,0.7595907928388747,0.4299382716049383,0.380342642107348,0.380342642107348,"[""alert"", ""fatigue"", ""distraction""]",[],1.9884222999990016,False,41e55919bdbe,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}"
random_forest,missingness_only,2,test,1864,0.8395922746781116,0.7618514326432806,0.7537097452344262,0.5024731634896175,"[""alert"", ""distraction""]","[""fatigue""]",1.9884222999990016,False,41e55919bdbe,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500, ""n_jobs"": -1}"
