model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,preprocessing,window_size_frames,num_features
svm,all_features,2,validation,1173,0.7169650468883205,0.4612592210373428,0.3764146447867378,0.3764146447867378,"[""alert"", ""fatigue"", ""distraction""]",[],0.2388145999993867,True,zero_fill_baseline,60,14
svm,all_features,2,test,1864,0.8369098712446352,0.7491543613663174,0.7585095418541675,0.5056730279027783,"[""alert"", ""distraction""]","[""fatigue""]",0.2388145999993867,True,zero_fill_baseline,60,14
random_forest,all_features,2,validation,1173,0.8312020460358056,0.4314002599090318,0.39092427661642,0.39092427661642,"[""alert"", ""fatigue"", ""distraction""]",[],1.0908730999999534,True,zero_fill_baseline,60,14
random_forest,all_features,2,test,1864,0.884656652360515,0.788585996615273,0.7867824721272998,0.5245216480848666,"[""alert"", ""distraction""]","[""fatigue""]",1.0908730999999534,True,zero_fill_baseline,60,14
xgboost,all_features,2,validation,1173,0.7911338448422848,0.44951267056530214,0.3858070551978427,0.3858070551978427,"[""alert"", ""fatigue"", ""distraction""]",[],4.602610300000379,True,zero_fill_baseline,60,14
xgboost,all_features,2,test,1864,0.8755364806866953,0.7831754300971316,0.7805629347970697,0.5203752898647132,"[""alert"", ""distraction""]","[""fatigue""]",4.602610300000379,True,zero_fill_baseline,60,14
svm,all_features,3,validation,1151,0.7298001737619462,0.3989804633287071,0.3859342210336694,0.3859342210336694,"[""alert"", ""fatigue"", ""distraction""]",[],0.24415940000108094,True,zero_fill_baseline,60,14
svm,all_features,3,test,1500,0.8626666666666667,0.47400895252029124,0.4412656685355952,0.4412656685355952,"[""alert"", ""fatigue"", ""distraction""]",[],0.24415940000108094,True,zero_fill_baseline,60,14
random_forest,all_features,3,validation,1151,0.794092093831451,0.4054482046902246,0.4003749061287469,0.4003749061287469,"[""alert"", ""fatigue"", ""distraction""]",[],1.2725473000009515,True,zero_fill_baseline,60,14
random_forest,all_features,3,test,1500,0.9006666666666666,0.4715139164663671,0.46363084395871274,0.46363084395871274,"[""alert"", ""fatigue"", ""distraction""]",[],1.2725473000009515,True,zero_fill_baseline,60,14
xgboost,all_features,3,validation,1151,0.736750651607298,0.4016849934166044,0.38350684403315977,0.38350684403315977,"[""alert"", ""fatigue"", ""distraction""]",[],1.5552626000007876,True,zero_fill_baseline,60,14
xgboost,all_features,3,test,1500,0.884,0.517332445048246,0.47330331908799356,0.47330331908799356,"[""alert"", ""fatigue"", ""distraction""]",[],1.5552626000007876,True,zero_fill_baseline,60,14
svm,all_features,4,validation,1125,0.7288888888888889,0.4437913340566793,0.3859717325389121,0.3859717325389121,"[""alert"", ""fatigue"", ""distraction""]",[],0.2913634999986243,True,zero_fill_baseline,60,14
svm,all_features,4,test,1095,0.6566210045662101,0.5616964245150152,0.5468842620035566,0.36458950800237105,"[""alert"", ""distraction""]","[""fatigue""]",0.2913634999986243,True,zero_fill_baseline,60,14
random_forest,all_features,4,validation,1125,0.824,0.45304951690821255,0.4161062612255127,0.4161062612255127,"[""alert"", ""fatigue"", ""distraction""]",[],1.1595264000006864,True,zero_fill_baseline,60,14
random_forest,all_features,4,test,1095,0.7634703196347032,0.585616282767707,0.5650210132545144,0.3766806755030096,"[""alert"", ""distraction""]","[""fatigue""]",1.1595264000006864,True,zero_fill_baseline,60,14
xgboost,all_features,4,validation,1125,0.7902222222222223,0.44367588932806323,0.4006734006734007,0.4006734006734007,"[""alert"", ""fatigue"", ""distraction""]",[],3.5782932999991317,True,zero_fill_baseline,60,14
xgboost,all_features,4,test,1095,0.7296803652968037,0.6065944300576984,0.5707541251019512,0.38050275006796747,"[""alert"", ""distraction""]","[""fatigue""]",3.5782932999991317,True,zero_fill_baseline,60,14
svm,all_features,1,validation,1180,0.7508474576271187,0.41746414395987047,0.3979322235218828,0.3979322235218828,"[""alert"", ""fatigue"", ""distraction""]",[],0.26222690000031434,True,short_gap_interpolation,60,14
svm,all_features,1,test,1534,0.7294654498044328,0.49995352470921817,0.4780662761234997,0.4780662761234997,"[""alert"", ""fatigue"", ""distraction""]",[],0.26222690000031434,True,short_gap_interpolation,60,14
random_forest,all_features,1,validation,1180,0.838135593220339,0.4167458056346945,0.4230637093114118,0.4230637093114118,"[""alert"", ""fatigue"", ""distraction""]",[],1.1846937999998772,True,short_gap_interpolation,60,14
random_forest,all_features,1,test,1534,0.8089960886571056,0.5131756363495267,0.5116322098244871,0.5116322098244871,"[""alert"", ""fatigue"", ""distraction""]",[],1.1846937999998772,True,short_gap_interpolation,60,14
xgboost,all_features,1,validation,1180,0.7898305084745763,0.42048359997077944,0.4117379569324649,0.4117379569324649,"[""alert"", ""fatigue"", ""distraction""]",[],3.4908231000008527,True,short_gap_interpolation,60,14
xgboost,all_features,1,test,1534,0.7992177314211213,0.5297860404056082,0.5140036420858035,0.5140036420858035,"[""alert"", ""fatigue"", ""distraction""]",[],3.4908231000008527,True,short_gap_interpolation,60,14
