model,ablation,fold,subset,label,precision,recall,f1,support,preprocessing,window_size_frames,num_features
random_forest,all_features,2,test,distraction,0.6342281879194631,0.6406779661016949,0.6374367622259697,295,short_gap_interpolation,30,14
xgboost,all_features,2,validation,alert,0.9338085539714868,0.8443830570902394,0.8868471953578336,1086,short_gap_interpolation,30,14
xgboost,all_features,2,validation,fatigue,0.0,0.0,0.0,20,short_gap_interpolation,30,14
xgboost,all_features,2,validation,distraction,0.17258883248730963,0.43037974683544306,0.2463768115942029,79,short_gap_interpolation,30,14
xgboost,all_features,2,test,alert,0.9339320076972418,0.9215189873417722,0.9276839757884676,1580,short_gap_interpolation,30,14
xgboost,all_features,2,test,fatigue,,,,0,short_gap_interpolation,30,14
xgboost,all_features,2,test,distraction,0.6134185303514377,0.6508474576271186,0.631578947368421,295,short_gap_interpolation,30,14
svm,all_features,3,validation,alert,0.8882803943044907,0.8167170191339376,0.85099685204617,993,short_gap_interpolation,30,14
svm,all_features,3,validation,fatigue,0.0,0.0,0.0,13,short_gap_interpolation,30,14
svm,all_features,3,validation,distraction,0.2638888888888889,0.375,0.30978260869565216,152,short_gap_interpolation,30,14
svm,all_features,3,test,alert,0.9449056603773585,0.913202042304887,0.9287833827893175,1371,short_gap_interpolation,30,14
svm,all_features,3,test,fatigue,0.09090909090909091,0.04,0.05555555555555555,25,short_gap_interpolation,30,14
svm,all_features,3,test,distraction,0.3559322033898305,0.5384615384615384,0.42857142857142855,117,short_gap_interpolation,30,14
random_forest,all_features,3,validation,alert,0.8876288659793814,0.8670694864048338,0.8772287315333673,993,short_gap_interpolation,30,14
random_forest,all_features,3,validation,fatigue,0.0,0.0,0.0,13,short_gap_interpolation,30,14
random_forest,all_features,3,validation,distraction,0.3010752688172043,0.3684210526315789,0.33136094674556216,152,short_gap_interpolation,30,14
random_forest,all_features,3,test,alert,0.9367272727272727,0.9394602479941648,0.9380917698470502,1371,short_gap_interpolation,30,14
random_forest,all_features,3,test,fatigue,0.0,0.0,0.0,25,short_gap_interpolation,30,14
