model,ablation,fold,subset,actual,predicted,count
svm,facial_plus_missingness,2,validation,fatigue,distraction,0
svm,facial_plus_missingness,2,validation,distraction,alert,33
svm,facial_plus_missingness,2,validation,distraction,fatigue,2
svm,facial_plus_missingness,2,validation,distraction,distraction,41
svm,facial_plus_missingness,2,test,alert,alert,1380
svm,facial_plus_missingness,2,test,alert,fatigue,68
svm,facial_plus_missingness,2,test,alert,distraction,123
svm,facial_plus_missingness,2,test,fatigue,alert,0
svm,facial_plus_missingness,2,test,fatigue,fatigue,0
svm,facial_plus_missingness,2,test,fatigue,distraction,0
svm,facial_plus_missingness,2,test,distraction,alert,91
svm,facial_plus_missingness,2,test,distraction,fatigue,20
svm,facial_plus_missingness,2,test,distraction,distraction,182
random_forest,facial_plus_missingness,2,validation,alert,alert,968
random_forest,facial_plus_missingness,2,validation,alert,fatigue,7
random_forest,facial_plus_missingness,2,validation,alert,distraction,105
random_forest,facial_plus_missingness,2,validation,fatigue,alert,17
random_forest,facial_plus_missingness,2,validation,fatigue,fatigue,0
random_forest,facial_plus_missingness,2,validation,fatigue,distraction,0
random_forest,facial_plus_missingness,2,validation,distraction,alert,44
random_forest,facial_plus_missingness,2,validation,distraction,fatigue,0
random_forest,facial_plus_missingness,2,validation,distraction,distraction,32
random_forest,facial_plus_missingness,2,test,alert,alert,1474
random_forest,facial_plus_missingness,2,test,alert,fatigue,3
random_forest,facial_plus_missingness,2,test,alert,distraction,94
random_forest,facial_plus_missingness,2,test,fatigue,alert,0
random_forest,facial_plus_missingness,2,test,fatigue,fatigue,0
random_forest,facial_plus_missingness,2,test,fatigue,distraction,0
random_forest,facial_plus_missingness,2,test,distraction,alert,110
random_forest,facial_plus_missingness,2,test,distraction,fatigue,0
random_forest,facial_plus_missingness,2,test,distraction,distraction,183
xgboost,facial_plus_missingness,2,validation,alert,alert,904
xgboost,facial_plus_missingness,2,validation,alert,fatigue,19
xgboost,facial_plus_missingness,2,validation,alert,distraction,157
xgboost,facial_plus_missingness,2,validation,fatigue,alert,16
xgboost,facial_plus_missingness,2,validation,fatigue,fatigue,0
xgboost,facial_plus_missingness,2,validation,fatigue,distraction,1
xgboost,facial_plus_missingness,2,validation,distraction,alert,37
xgboost,facial_plus_missingness,2,validation,distraction,fatigue,0
xgboost,facial_plus_missingness,2,validation,distraction,distraction,39
xgboost,facial_plus_missingness,2,test,alert,alert,1445
