model,representation,window_size_frames,fold,missing_ratio_lower,missing_ratio_upper,num_windows,error_rate,mean_probability_fatigue,fatigue_windows
transformer,R2,150,2,0.25,0.5,79,0.08860759493670886,0.035790358917622625,0
transformer,R2,150,2,0.5,0.75,68,0.4411764705882353,0.05596340403837316,0
transformer,R2,150,2,0.75,1.0,86,0.8023255813953488,0.07986876021984012,0
transformer,R2,150,3,0.0,0.1,763,0.09305373525557012,0.017096623211981896,11
transformer,R2,150,3,0.1,0.25,71,0.08450704225352113,0.021353600730358715,0
transformer,R2,150,3,0.25,0.5,61,0.19672131147540983,0.021151933513703893,0
transformer,R2,150,3,0.5,0.75,91,0.2857142857142857,0.02430825705056662,0
transformer,R2,150,3,0.75,1.0,139,0.6187050359712231,0.0335488079263152,0
transformer,R2,150,4,0.0,0.1,813,0.056580565805658053,0.018426310972094097,12
transformer,R2,150,4,0.1,0.25,61,0.04918032786885246,0.02707884741611168,0
transformer,R2,150,4,0.25,0.5,77,0.12987012987012986,0.025288371296672076,0
transformer,R2,150,4,0.5,0.75,47,0.2765957446808511,0.034345586249168884,0
transformer,R2,150,4,0.75,1.0,107,0.5420560747663551,0.04221151476708528,0
lstm,R2,60,1,0.0,0.1,886,0.08916478555304741,0.3238145126446106,4
lstm,R2,60,1,0.1,0.25,49,0.12244897959183673,0.3231574856505102,0
lstm,R2,60,1,0.25,0.5,53,0.2641509433962264,0.3243477299528302,0
lstm,R2,60,1,0.5,0.75,56,0.30357142857142855,0.3240966796875,0
lstm,R2,60,1,0.75,1.0,136,0.36764705882352944,0.32637831744025736,0
lstm,R2,60,2,0.0,0.1,909,0.056105610561056105,0.3268535349628713,17
lstm,R2,60,2,0.1,0.25,48,0.08333333333333333,0.3265329996744792,0
lstm,R2,60,2,0.25,0.5,55,0.18181818181818182,0.3272638494318182,0
lstm,R2,60,2,0.5,0.75,51,0.11764705882352941,0.3271340762867647,0
lstm,R2,60,2,0.75,1.0,110,0.2,0.3292169744318182,0
lstm,R2,60,3,0.0,0.1,845,0.10295857988165681,0.32291628143491125,13
lstm,R2,60,3,0.1,0.25,30,0.16666666666666666,0.32310384114583335,0
lstm,R2,60,3,0.25,0.5,47,0.2765957446808511,0.3237044963430851,0
lstm,R2,60,3,0.5,0.75,58,0.27586206896551724,0.32334742052801724,0
lstm,R2,60,3,0.75,1.0,171,0.2573099415204678,0.32584349872076024,0
lstm,R2,60,4,0.0,0.1,885,0.06779661016949153,0.01637790054924744,17
lstm,R2,60,4,0.1,0.25,32,0.09375,0.04955458641052246,0
lstm,R2,60,4,0.25,0.5,37,0.4594594594594595,0.08160689070418074,0
lstm,R2,60,4,0.5,0.75,45,0.4444444444444444,0.09564158121744791,0
lstm,R2,60,4,0.75,1.0,126,0.7063492063492064,0.14602104065910218,0
tcn,R2,60,1,0.0,0.1,886,0.08916478555304741,0.2479591800181645,4
tcn,R2,60,1,0.1,0.25,49,0.12244897959183673,0.20848986567283162,0
tcn,R2,60,1,0.25,0.5,53,0.2641509433962264,0.22329193691037735,0
tcn,R2,60,1,0.5,0.75,56,0.30357142857142855,0.23290906633649552,0
tcn,R2,60,1,0.75,1.0,136,0.36764705882352944,0.2850216136259191,0
tcn,R2,60,2,0.0,0.1,909,0.056105610561056105,0.2622525558219885,17
tcn,R2,60,2,0.1,0.25,48,0.08333333333333333,0.2516377766927083,0
tcn,R2,60,2,0.25,0.5,55,0.18181818181818182,0.26038041548295454,0
tcn,R2,60,2,0.5,0.75,51,0.11764705882352941,0.27469649969362747,0
tcn,R2,60,2,0.75,1.0,110,0.2,0.30810990767045454,0
tcn,R2,60,3,0.0,0.1,845,0.10295857988165681,0.003923051597098627,13
tcn,R2,60,3,0.1,0.25,30,0.16666666666666666,0.006727536519368489,0
tcn,R2,60,3,0.25,0.5,47,0.3404255319148936,0.013904043968687666,0
tcn,R2,60,3,0.5,0.75,58,0.29310344827586204,0.029209926210600753,0
tcn,R2,60,3,0.75,1.0,171,0.7368421052631579,0.06522927089044225,0
tcn,R2,60,4,0.0,0.1,885,0.07231638418079096,0.012672504058665475,17
tcn,R2,60,4,0.1,0.25,32,0.09375,0.04482078552246094,0
tcn,R2,60,4,0.25,0.5,37,0.1891891891891892,0.054212827940244936,0
tcn,R2,60,4,0.5,0.75,45,0.4,0.07574903700086806,0
tcn,R2,60,4,0.75,1.0,126,0.7301587301587301,0.10304066491505456,0
