model,representation,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation,minimum,maximum
transformer,R2,150,test,alert,recall,4,0.9275628721076234,0.0279162866625759,0.8921775898520085,0.9516483516483516
transformer,R2,150,test,alert,f1,4,0.915426692866709,0.031149486592454246,0.8862328463922089,0.9426705370101597
transformer,R2,150,test,distraction,precision,4,0.4937056967883535,0.26123965698533075,0.1968503937007874,0.7353760445682451
transformer,R2,150,test,distraction,recall,4,0.46865684710234695,0.242954883312305,0.19230769230769232,0.7021276595744681
transformer,R2,150,test,distraction,f1,4,0.48082009108548046,0.2517561256227689,0.19455252918287938,0.7183673469387755
transformer,R2,150,test,fatigue,precision,2,0.0,0.0,0.0,0.0
transformer,R2,150,test,fatigue,recall,2,0.0,0.0,0.0,0.0
transformer,R2,150,test,fatigue,f1,2,0.0,0.0,0.0,0.0
transformer,R2,150,validation,alert,precision,4,0.9122734949924909,0.029000323572456216,0.8832335329341318,0.9392212725546059
transformer,R2,150,validation,alert,recall,4,0.9288112476910262,0.01457169248943775,0.913312693498452,0.9459459459459459
transformer,R2,150,validation,alert,f1,4,0.9202551636242078,0.0164823211693049,0.898021308980213,0.935129740518962
transformer,R2,150,validation,distraction,precision,4,0.3307979083926485,0.09569403037637922,0.205607476635514,0.43157894736842106
transformer,R2,150,validation,distraction,recall,4,0.31209034028833804,0.07181102151300654,0.2645161290322581,0.4175824175824176
transformer,R2,150,validation,distraction,f1,4,0.31347281902273105,0.06270291250281114,0.2430939226519337,0.3917525773195876
transformer,R2,150,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
transformer,R2,150,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
transformer,R2,150,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
