run_id,configuration_id,generation,model,representation,window_size_frames,fold,seed,parameter_count,model_size_bytes,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,peak_gpu_memory_bytes,resumed_checkpoint,validation_num_windows,validation_accuracy,validation_balanced_accuracy,validation_macro_f1_all_classes,test_num_windows,test_accuracy,test_balanced_accuracy,test_macro_f1_all_classes
G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42,qualification_r1_w60_b1024,G3,tcn,R1,60,4,42,49379,636796,2,17,0.3157073779441585,0.8353487395272721,0.5440162751939561,296.30677149999974,188977152,False,1125,0.8995555555555556,0.3333333333333333,0.3157073779441585,1095,0.873972602739726,0.5,0.310916179337232
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_1__seed_42,qualification_r2_w150_b1024,G3,transformer,R2,150,1,42,17539,270003,13,28,0.41530710700987533,0.2714476118350846,0.3990215607277759,9.278581699996721,571561472,False,1155,0.8536796536796537,0.403487358326068,0.41530710700987533,1528,0.8278795811518325,0.5401587611425597,0.5348667311103281
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_2__seed_42,qualification_r2_w150_b1024,G3,transformer,R2,150,2,42,17539,269555,9,24,0.39101406887332124,0.3837369921364041,0.3726192601795854,7.10245009999926,571735552,False,1160,0.871551724137931,0.40605130269934736,0.39101406887332124,1841,0.9011406844106464,0.7943231590473583,0.5354149528756434
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_3__seed_42,qualification_r2_w150_b1024,G3,transformer,R2,150,3,42,17539,268979,4,19,0.396355361699872,0.4487905678793683,0.47831993238131204,6.42981609999697,571735552,False,1125,0.8213333333333334,0.3940927369132771,0.396355361699872,1493,0.8941728064300067,0.4304236643859285,0.4296081277213353
G3__qualification_r2_w150_b1024__transformer__r2__w150__fold_4__seed_42,qualification_r2_w150_b1024,G3,transformer,R2,150,4,42,17539,269235,6,21,0.4422941059461832,0.3622711465842951,0.4004721797969007,7.471904599995469,571735552,False,1105,0.8823529411764706,0.4509040527004599,0.4422941059461832,1076,0.8076208178438662,0.5422426410798504,0.3617725668956124
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_1__seed_42,qualification_r2_w60_b1024,G3,lstm,R2,60,1,42,52419,660818,1,16,0.3081130355515041,1.1039234112392906,1.0555308176299274,2.272800399994594,378766848,False,1180,0.8593220338983051,0.3333333333333333,0.3081130355515041,1534,0.7086049543676662,0.3330269607843137,0.27648480223833144
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_2__seed_42,qualification_r2_w60_b1024,G3,lstm,R2,60,2,42,52419,660818,1,16,0.3195739014647137,1.1059457501418994,1.0676933490406826,1.884115799999563,379171328,False,1173,0.9207161125319693,0.3333333333333333,0.3195739014647137,1864,0.8406652360515021,0.4987269255251432,0.3044787719809579
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_3__seed_42,qualification_r2_w60_b1024,G3,lstm,R2,60,3,42,52419,660818,1,16,0.30759631882701605,1.1021700040458442,1.053821663562367,2.4667289999997593,379171328,False,1151,0.8566463944396178,0.3333333333333333,0.30759631882701605,1500,0.9113333333333333,0.3333333333333333,0.31787001511452156
G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,qualification_r2_w60_b1024,G3,lstm,R2,60,4,42,52419,662546,17,32,0.4018982464610756,0.37042442277310134,0.44114206200175815,5.156845700003032,379171328,False,1125,0.832,0.4245855292050944,0.4018982464610756,1095,0.771689497716895,0.5655126981963564,0.36933854675790156
G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_1__seed_42,qualification_r2_w60_b1024,G3,tcn,R2,60,1,42,49763,641404,1,16,0.3081130355515041,1.050269439285445,0.8552469582880957,249.8309805999961,190461440,False,1180,0.8593220338983051,0.3333333333333333,0.3081130355515041,1534,0.7092568448500652,0.3333333333333333,0.2766336130180524
