ablation,absent_classes,accuracy,balanced_accuracy,best_epoch,best_training_loss,best_validation_loss,best_validation_macro_f1,configuration_id,fold,generation,inference_seconds,inference_windows_per_second,macro_f1_all_classes,macro_f1_present_classes,model,model_size_bytes,num_windows,parameter_count,peak_gpu_memory_bytes,present_classes,representation,resumed_checkpoint,run_id,seed,stopping_epoch,subset,train_seconds,training_seconds,window_size_frames
temporal_r1,[],0.9207161125319693,0.3333333333333333,2,0.9233813546174483,0.7194796101414842,0.3195739014647137,qualification_r1_w60_b1024,2,G3,3.810205200003111,307.8574350796231,0.3195739014647137,0.3195739014647137,tcn,636796,1173,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,42,17,validation,251.8068757000001,251.8068757000001,60
temporal_r1,"[""fatigue""]",0.8428111587982833,0.5,2,0.9233813546174483,0.7194796101414842,0.3195739014647137,qualification_r1_w60_b1024,2,G3,5.986217300000135,311.38194732756494,0.30490053372149445,0.45735080058224165,tcn,636796,1864,49379,188977152,"[""alert"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,42,17,test,251.8068757000001,251.8068757000001,60
temporal_r1,[],0.8496959165942659,0.3306288032454361,2,1.0182649120349878,0.9593623574146698,0.30624706434945986,qualification_r1_w60_b1024,3,G3,0.025637300001108088,44895.523317597865,0.30624706434945986,0.30624706434945986,lstm,651602,1151,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,42,17,validation,2.5535980999993626,2.5535980999993626,60
temporal_r1,[],0.8993333333333333,0.3344088549831052,2,1.0182649120349878,0.9593623574146698,0.30624706434945986,qualification_r1_w60_b1024,3,G3,0.030757799999264535,48768.11735676372,0.3255917250303841,0.3255917250303841,lstm,651602,1500,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,42,17,test,2.5535980999993626,2.5535980999993626,60
temporal_r1,[],0.6038227628149435,0.3629452688516423,1,1.1007868130436018,0.9059740449427316,0.32351419730444025,qualification_r1_w60_b1024,3,G3,3.9770214000018314,289.41257394276784,0.32351419730444025,0.32351419730444025,tcn,636668,1151,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42,42,16,validation,259.78267990000313,259.78267990000313,60
temporal_r1,[],0.5686666666666667,0.32822133974291984,1,1.1007868130436018,0.9059740449427316,0.32351419730444025,qualification_r1_w60_b1024,3,G3,4.912268200001563,305.3579199929521,0.2791993618639509,0.2791993618639509,tcn,636668,1500,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_3__seed_42,42,16,test,259.78267990000313,259.78267990000313,60
temporal_r1,[],0.8906666666666667,0.3300395256916996,2,1.0131341273571273,0.9555043426089816,0.3140573577809121,qualification_r1_w60_b1024,4,G3,0.023356700003205333,48166.050848176834,0.3140573577809121,0.3140573577809121,lstm,651602,1125,51651,377265664,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42,42,17,validation,2.5687264000007417,2.5687264000007417,60
temporal_r1,"[""fatigue""]",0.8648401826484018,0.4978760619690155,2,1.0131341273571273,0.9555043426089816,0.3140573577809121,qualification_r1_w60_b1024,4,G3,0.024348700004338752,44971.60011848187,0.31359477124183005,0.4703921568627451,lstm,651602,1095,51651,377265664,"[""alert"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_4__seed_42,42,17,test,2.5687264000007417,2.5687264000007417,60
temporal_r1,[],0.8995555555555556,0.3333333333333333,2,0.8353487395272721,0.5440162751939561,0.3157073779441585,qualification_r1_w60_b1024,4,G3,3.5281077999970876,318.86780783765414,0.3157073779441585,0.3157073779441585,tcn,636796,1125,49379,188977152,"[""alert"", ""fatigue"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42,42,17,validation,296.30677149999974,296.30677149999974,60
temporal_r1,"[""fatigue""]",0.873972602739726,0.5,2,0.8353487395272721,0.5440162751939561,0.3157073779441585,qualification_r1_w60_b1024,4,G3,3.4207640000022366,320.103929999054,0.310916179337232,0.46637426900584794,tcn,636796,1095,49379,188977152,"[""alert"", ""distraction""]",R1,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_4__seed_42,42,17,test,296.30677149999974,296.30677149999974,60
