model,window_size_frames,fold,subset,comparison,metric,delta
transformer,150,3,validation,R2-R1,fatigue_predictions,0
transformer,150,3,test,R1-R0,macro_f1_all_classes,-0.12371776934951884
transformer,150,3,test,R1-R0,balanced_accuracy,-0.11473725435989585
transformer,150,3,test,R1-R0,fatigue_f1,0.0
transformer,150,3,test,R1-R0,fatigue_recall,0.0
transformer,150,3,test,R1-R0,distraction_f1,-0.3835616438356164
transformer,150,3,test,R1-R0,fatigue_predictions,0
transformer,150,3,test,R2-R0,macro_f1_all_classes,-0.01251412028458665
transformer,150,3,test,R2-R0,balanced_accuracy,-0.017646923307300666
transformer,150,3,test,R2-R0,fatigue_f1,0.0
transformer,150,3,test,R2-R0,fatigue_recall,0.0
transformer,150,3,test,R2-R0,distraction_f1,-0.03740779768177027
transformer,150,3,test,R2-R0,fatigue_predictions,0
transformer,150,3,test,R2-R1,macro_f1_all_classes,0.11120364906493219
transformer,150,3,test,R2-R1,balanced_accuracy,0.09709033105259518
transformer,150,3,test,R2-R1,fatigue_f1,0.0
transformer,150,3,test,R2-R1,fatigue_recall,0.0
transformer,150,3,test,R2-R1,distraction_f1,0.34615384615384615
transformer,150,3,test,R2-R1,fatigue_predictions,0
transformer,150,4,validation,R1-R0,macro_f1_all_classes,-0.10618119633930317
transformer,150,4,validation,R1-R0,balanced_accuracy,-0.1142513507782969
transformer,150,4,validation,R1-R0,fatigue_f1,0.0
transformer,150,4,validation,R1-R0,fatigue_recall,0.0
transformer,150,4,validation,R1-R0,distraction_f1,-0.3508771929824561
transformer,150,4,validation,R1-R0,fatigue_predictions,0
transformer,150,4,validation,R2-R0,macro_f1_all_classes,0.019074466322589523
transformer,150,4,validation,R2-R0,balanced_accuracy,0.0033193685888296964
transformer,150,4,validation,R2-R0,fatigue_f1,0.0
transformer,150,4,validation,R2-R0,fatigue_recall,0.0
transformer,150,4,validation,R2-R0,distraction_f1,0.040875384337131504
transformer,150,4,validation,R2-R0,fatigue_predictions,0
transformer,150,4,validation,R2-R1,macro_f1_all_classes,0.1252556626618927
transformer,150,4,validation,R2-R1,balanced_accuracy,0.1175707193671266
transformer,150,4,validation,R2-R1,fatigue_f1,0.0
transformer,150,4,validation,R2-R1,fatigue_recall,0.0
transformer,150,4,validation,R2-R1,distraction_f1,0.3917525773195876
transformer,150,4,validation,R2-R1,fatigue_predictions,0
transformer,150,4,test,R1-R0,macro_f1_all_classes,-0.04083630103849745
transformer,150,4,test,R1-R0,balanced_accuracy,-0.03302162953325738
transformer,150,4,test,R1-R0,fatigue_f1,0.0
transformer,150,4,test,R1-R0,fatigue_recall,0.0
transformer,150,4,test,R1-R0,distraction_f1,-0.18556701030927836
transformer,150,4,test,R1-R0,fatigue_predictions,0
transformer,150,4,test,R2-R0,macro_f1_all_classes,0.009033858999218491
transformer,150,4,test,R2-R0,balanced_accuracy,0.00922101154659305
transformer,150,4,test,R2-R0,fatigue_f1,0.0
transformer,150,4,test,R2-R0,fatigue_recall,0.0
transformer,150,4,test,R2-R0,distraction_f1,0.008985518873601023
transformer,150,4,test,R2-R0,fatigue_predictions,0
transformer,150,4,test,R2-R1,macro_f1_all_classes,0.04987016003771594
transformer,150,4,test,R2-R1,balanced_accuracy,0.04224264107985043
transformer,150,4,test,R2-R1,fatigue_f1,0.0
transformer,150,4,test,R2-R1,fatigue_recall,0.0
transformer,150,4,test,R2-R1,distraction_f1,0.19455252918287938
transformer,150,4,test,R2-R1,fatigue_predictions,0
