ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,114,2,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,0,2,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,179,2,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,822,3,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,0,3,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,164,3,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,13,3,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,3,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,3,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,91,3,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,0,3,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,61,3,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,1267,3,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,0,3,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,100,3,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,19,3,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,3,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,2,3,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,50,3,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,0,3,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,62,3,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_3__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,824,3,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,0,3,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,162,3,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,13,3,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_3__seed_42,42,validation,60
