run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__feature__dummy__r0_flat__w150__fold_3__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,3,42,none,f7e1b4c8a99abe4518450efd3e4c3cfd252cca370dd2ea2c6ccae245fd819bbd,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_3__seed_42.joblib,1.263,2026-09-15T18:12:55+00:00,
final__screening__feature__dummy__r0_flat__w150__fold_4__seed_42,screening,feature,classical,screening,dummy,R0_flat,150,4,42,none,7dbe7f4a1ee77e21317d9b937259c40f6d45814ab76a83989baf98623476e295,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w150__fold_4__seed_42.joblib,1.218,2026-09-15T18:12:56+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_1__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,1,42,none,56d3f11764cadabbbc69516454973a7892ca700c3e702203b007bfcd0428a53a,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_1__seed_42.joblib,1.026,2026-09-15T18:12:48+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_2__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,2,42,none,9f77a0d1c25a9ab019ceba1760f14cf4768f03573c904d4848d313cd252d8523,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_2__seed_42.joblib,0.377,2026-09-15T18:12:48+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_3__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,3,42,none,0e1429081b52e137a4c7fbc7b8e43010eeb180689012fcda5be91d67eef8e719,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_3__seed_42.joblib,0.379,2026-09-15T18:12:49+00:00,
final__screening__feature__dummy__r0_flat__w30__fold_4__seed_42,screening,feature,classical,screening,dummy,R0_flat,30,4,42,none,baec3d743c6b842b13cce985fb5324771d7448e57ff043f7157d2036fda969a1,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w30__fold_4__seed_42.joblib,0.426,2026-09-15T18:12:49+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_1__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,1,42,none,5c9289f911f929a3e1340001a327eb4ad0faf73be1437c042a18484961bf6b4a,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_1__seed_42.joblib,0.591,2026-09-15T18:12:50+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_2__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,2,42,none,0b7b34248aa6b1b2dda344a33c817ec28175d6f3c9906d5641b32b30c1f5561d,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_2__seed_42.joblib,0.580,2026-09-15T18:12:50+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_3__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,3,42,none,4abbb747db075e2bdf5f79c72f5e0b236530890632698b90b693842f18e95a9f,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_3__seed_42.joblib,0.591,2026-09-15T18:12:51+00:00,
final__screening__feature__dummy__r0_flat__w60__fold_4__seed_42,screening,feature,classical,screening,dummy,R0_flat,60,4,42,none,e4df3edccb0620050b84985b2b2a2db89b517f41a31952bb4555539b66091f44,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__dummy__r0_flat__w60__fold_4__seed_42.joblib,0.592,2026-09-15T18:12:51+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,1,42,none,d52388c99ee1924b9ece4138166034a1a205c22b102c417d9a0933e2edd57c54,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42.joblib,0.220,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,2,42,none,a04cd6f7191492b05d1415e6bfdefb5b766908f8dbd23e82639c05b3ebf7fa1a,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42.joblib,0.192,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,3,42,none,8de7efbeaa146e61d106ccc192b6835923ab6066036afaa22576338a41cb0c5d,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42.joblib,0.190,2026-09-15T18:12:57+00:00,
final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42,screening,feature,classical,screening,logistic_regression,R0_flat,150,4,42,none,6af0f757ce91e46e810f37c3c3e32d6bf10f9051f2b0473ec92d04f6684c3e11,completed,new,fase_2/outputs/binary_v1/rounds/20260915_151225_610632/00_binary_experiment/checkpoints/final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42.joblib,0.201,2026-09-15T18:12:58+00:00,
